"";"Sample_names";"D0";"D1";"D2";"sd.D0";"sd.D1";"sd.D2"
"CYCLUS1_BEKKEN_14_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_14_A_SYBR_OPERATION_rep3.fcs";10137,9;2118,29524175773;1192,10477313486;258,495042251659;40,7149755607571;23,9507587884443
"CYCLUS1_BEKKEN_15_A_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_15_A_SYBR_OPERATION_rep1.fcs";9172,48;2023,98190416369;1150,99416265963;185,035267181719;20,9493175431872;11,7775496708581
"CYCLUS1_BEKKEN_15_A_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_15_A_SYBR_OPERATION_rep2.fcs";9827,48;2126,29933119621;1190,27779108598;177,964726955664;22,7391615118658;13,2626920460767
"CYCLUS1_BEKKEN_15_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_15_A_SYBR_OPERATION_rep3.fcs";9576,91;2064,11804213354;1156,99692497437;176,465413957615;22,9747133391599;12,195321906063
"CYCLUS1_BEKKEN_15_B_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_15_B_SYBR_OPERATION_rep1.fcs";9425,23;2017,50207603653;1131,86608438563;200,840247837716;27,8102913746756;14,5282672936315
"CYCLUS1_BEKKEN_15_B_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_15_B_SYBR_OPERATION_rep2.fcs";9675,38;2091,11924323409;1186,38856312424;191,327778401043;21,2536222623502;10,2811866609632
"CYCLUS1_BEKKEN_15_B_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_15_B_SYBR_OPERATION_rep3.fcs";8730,43;1943,19054112522;1095,58308148058;176,889982072405;33,1582744912183;19,2625216387513
"CYCLUS1_BEKKEN_16_A_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_16_A_SYBR_OPERATION_rep1.fcs";8923,78;1940,43230894642;1085,63132016329;187,990467198674;24,2684957065611;13,4223083800002
"CYCLUS1_BEKKEN_16_A_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_16_A_SYBR_OPERATION_rep2.fcs";9064,45;1916,87458937328;1072,18575261993;393,771080885093;71,2802484996279;39,2281123500782
"CYCLUS1_BEKKEN_16_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_16_A_SYBR_OPERATION_rep3.fcs";9052,15;1947,99282934599;1087,50986014394;178,970308185803;21,2467205816984;11,1217381135359
"CYCLUS1_BEKKEN_16_B_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_16_B_SYBR_OPERATION_rep1.fcs";8169,8;1769,14489752931;1016,06049030693;190,20361232483;33,2005869883544;19,6146501209939
"CYCLUS1_BEKKEN_16_B_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_16_B_SYBR_OPERATION_rep2.fcs";8196,8;1726,20721576383;986,524375130542;387,267323431735;77,9132967194608;44,216707786346
"CYCLUS1_BEKKEN_16_B_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_16_B_SYBR_OPERATION_rep3.fcs";8481,95;1813,00414394813;1034,39075657124;193,659097280752;27,0873809490987;15,4503144697937
"CYCLUS1_BEKKEN_17_A_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_17_A_SYBR_OPERATION_rep1.fcs";7145,33;1531,20387116352;866,689765802169;162,008919507538;27,2494803216293;15,0553539790402
"CYCLUS1_BEKKEN_17_A_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_17_A_SYBR_OPERATION_rep2.fcs";6850,63;1482,47582083433;841,681351162626;191,584496483743;42,1631917992775;24,0501338682453
"CYCLUS1_BEKKEN_17_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_17_A_SYBR_OPERATION_rep3.fcs";7264,77;1550,9522422396;875,714690493482;125,923325636651;18,2700896524137;10,098377127919
"CYCLUS1_BEKKEN_17_B_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_17_B_SYBR_OPERATION_rep1.fcs";5639,57;1226,4683717239;724,120365683796;182,959854016716;40,443933504603;24,6163323375055
"CYCLUS1_BEKKEN_17_B_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_17_B_SYBR_OPERATION_rep2.fcs";5882,59;1265,3290362669;739,065247629501;326,137236249844;73,6582594800468;42,7877623228888
"CYCLUS1_BEKKEN_17_B_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_17_B_SYBR_OPERATION_rep3.fcs";6227,68;1357,13947877898;795,861748874851;94,3386206891714;12,171065883166;6,73899570219835
"CYCLUS1_BEKKEN_18_A_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_18_A_SYBR_OPERATION_rep1.fcs";6880,72;1441,82870549455;801,560660080791;138,375428425422;27,884886435909;15,6443184464267
"CYCLUS1_BEKKEN_18_A_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_18_A_SYBR_OPERATION_rep2.fcs";6926,37;1436,23266409131;792,330626546888;127,492812631643;22,1016165895855;11,7794120264366
"CYCLUS1_BEKKEN_18_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_18_A_SYBR_OPERATION_rep3.fcs";6896,47;1462,75171332302;820,17272093878;83,1016725451298;9,19956775306994;5,23373102180418
"CYCLUS1_BEKKEN_18_B_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_18_B_SYBR_OPERATION_rep1.fcs";7320,5;1545,25729077683;844,767566436024;110,279305640384;15,6161792168312;8,16862995078891
"CYCLUS1_BEKKEN_18_B_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_18_B_SYBR_OPERATION_rep2.fcs";7302,9;1532,40606244827;844,808234354692;103,57786316281;14,8138283382171;8,65037376673469
"CYCLUS1_BEKKEN_18_B_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_18_B_SYBR_OPERATION_rep3.fcs";7225,74;1508,75682342732;827,554489255473;114,035402973432;17,6331644895701;9,1263924375546
"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION_rep1.fcs";6664,03;1458,46073802542;828,610414078809;131,954725553728;24,8986019250631;14,0639267093294
"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION_rep2.fcs";6846,34;1501,40355149;857,269977895852;116,446391185824;9,78162958813013;5,11677668531856
"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_19_A_SYBR_OPERATION_rep3.fcs";6725,39;1490,57619843917;849,109648855133;121,805598965704;14,6324695389652;7,18117316204939
"CYCLUS1_BEKKEN_19_B_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_19_B_SYBR_OPERATION_rep1.fcs";7523,19;1704,68473319362;902,470431209065;192,518014111864;46,4875736702088;23,7005686162078
"CYCLUS1_BEKKEN_19_B_SYBR_OPERATION_rep2.fcs";"CYCLUS1_BEKKEN_19_B_SYBR_OPERATION_rep2.fcs";6511,26;1431,40693636079;795,26768247429;198,878299926911;45,6920227798007;25,6362602349678
"CYCLUS1_BEKKEN_19_B_SYBR_OPERATION_rep3.fcs";"CYCLUS1_BEKKEN_19_B_SYBR_OPERATION_rep3.fcs";6572,09;1429,83473801731;792,441968903269;222,055507438655;49,6891270488802;28,0215571813433
"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION_rep1.fcs";"CYCLUS1_BEKKEN_1_A_SYBR_OPERATION_rep1.fcs";8734,39;1769,74935027873;1057,03744833664;93,0630170987119;12,2096864709033;7,23650607204573
