Sample;D0;sd.D0;D0.bre;sd.D0.bre;D0.chao;sd.D0.chao;D1;sd.D1;D2;sd.D2
110M2P515;308,78;6,609726534;NA;NA;451,8203125;23,31541153;40,92984254;0,690796626;16,4756982;0,256046647
110S2P415;421,73;6,424157375;NA;NA;589,3227848;24,28383519;40,84685312;0,663458651;11,11345987;0,201154687
110S2P515;420,04;6,594947561;NA;NA;679,1470588;36,1071825;59,40805639;1,050128283;22,34243048;0,482561503
M15S2P115;686,88;9,236816978;NA;NA;1097,811765;40,96994511;109,3377363;1,992888095;33,56849231;0,817851454
MBRE1P714;788;9,217900898;NA;NA;1072;28,87082769;102,6591165;1,442906483;25,64592497;0,49571046
MBRE1P715;828,59;10,96836129;NA;NA;1335,04712;47,53447038;150,8484888;2,617817074;44,13758524;1,063867046
MBRE1P914;742,57;8,651799603;NA;NA;1060,346626;32,2859055;126,6142412;1,747688662;43,90008028;0,778472629
MBRE2P915;933,82;11,35859929;NA;NA;1493,237668;48,6176763;138,3862891;2,088430138;42,84389607;1,024957743
MBRH1P714;1114,28;9,752575417;NA;NA;1482,526639;30,52839683;124,3964648;1,136255081;44,96269671;0,489439204
MBRH1P914;860,77;9,294133047;NA;NA;1295,633508;40,79453137;170,205006;2,595833583;60,63333043;1,153713305
MDPE1P514;1634,37;15,38440441;NA;NA;2611,410643;57,32687783;151,3055107;2,258530947;29,55493999;0,509750808
MDPE1P714;636,1;8,088525355;NA;NA;860,2412587;24,50351928;123,1554596;1,59904235;40,63908027;0,90634267
MDPE1P715;777,68;10,0371834;NA;NA;1234,423684;43,1621083;115,2253355;1,565526476;42,09496748;0,715275474
MDPE1P914;745,73;10,04621141;NA;NA;1125,723602;38,82477673;123,6510673;1,429199306;48,49654561;0,713092753
MDPE2P915;593,33;9,759796943;NA;NA;993,1701389;43,1995839;114,1703809;1,99784147;42,55724592;0,965373032
MDPH1P714;1074,5;11,67186032;NA;NA;1503,029304;33,79425485;151,0045983;1,607954656;63,00610541;0,708495873
MDPH1P715;855,38;8,086377121;NA;NA;1107,319672;24,1453572;138,7388309;1,684919911;47,42189067;0,701906283
MDPH1P914;794,35;8,169140009;NA;NA;1010,973856;22,40417446;174,4103308;2,687537924;62,39284101;1,294605394
MDPH2P514;503,96;6,525660306;NA;NA;648,9506173;20,67797011;90,2723067;1,742199284;23,3720083;0,559908964
MDPH2P515;1023,49;14,4442467;NA;NA;1805,092803;62,06718032;97,41904949;1,714867183;23,10461245;0,394181207
MDPH2P915;1332,58;12,97330593;NA;NA;2175,001718;63,65565898;139,4179147;1,752264517;33,81567916;0,542785794
MINE1P714;1000,44;11,47621167;NA;NA;1616,668085;52,10106971;170,0752609;1,950290815;75,03146836;0,974160627
MINE1P914;1446,37;13,77499931;NA;NA;2130,641333;46,06185729;213,0806474;3,013406075;60,99623972;1,000339591
MINE2P915;1215,03;14,54248739;NA;NA;2491,666134;91,85645002;153,8859187;2,196468339;57,73631519;0,772771085
MINH1P514;1879,17;11,54792823;NA;NA;2307,923828;34,42718683;398,7018138;3,443817707;101,7645461;1,405385915
MINH1P714;1135,97;10,49237819;NA;NA;1546,833916;31,3766249;164,0315461;1,806538547;62,05684604;0,771655701
MINH1P715;951,76;13,47584446;NA;NA;1857,368;73,2225777;155,2072456;2,944649005;53,8041519;1,036273784
MINH1P914;907,88;10,29394252;NA;NA;1377,165984;38,9133454;164,3814113;2,936824955;58,25174955;1,207359761
MINH2P515;1354,94;16,02385847;NA;NA;2314,386189;63,07281655;201,2457877;2,745502002;62,26680226;1,028695463
MINH2P915;1271,07;13,44142173;NA;NA;2392,623188;77,61293938;163,4064762;2,621009609;59,78154221;0,890571605
MLBD2P115;914,53;13,27902196;NA;NA;1692,939535;67,92148074;115,9754124;1,93071368;40,00440614;0,82104479
MLBD2P715;844,43;9,198435308;NA;NA;1255,282857;40,35396468;152,6770943;1,968171307;57,59019062;1,106237894
MLBD2P815;830,81;12,16942268;NA;NA;1555,47861;67,44362116;122,0739311;1,872237654;35,37154775;0,655558124
MLBD2P915;666,6;10,61635864;NA;NA;1256,221374;64,94312457;104,5732167;1,880634421;27,61509859;0,746677518
MLBS2P115;793,61;11,39102518;NA;NA;1588,510638;73,72284567;119,0884301;1,96272232;44,0853145;0,733092565
MLBS2P515;585,06;9,87683751;NA;NA;973,1294964;42,6286757;110,1880118;1,978249894;51,23516434;0,903986942
MLBS2P715;478;7,25439609;NA;NA;683,3894737;27,38886971;101,3952558;1,137316531;53,61831633;0,718948147
MLBS2P815;912,61;11,31093598;NA;NA;1605,277202;63,73535016;140,3446335;1,975624201;40,06967215;0,79006749
MLBS2P915;657,78;10,59881831;NA;NA;1139,461538;49,59589544;70,65407576;1,361810338;15,63082531;0,376165978
MOTE1P514;1599,86;15,10503294;NA;NA;2459,84265;51,18444532;106,1748525;1,547303536;17,54896578;0,263607731
MOTE1P714;624;7,481964848;NA;NA;799,4074074;21,78430774;130,2398864;1,452678563;46,81079306;0,845423295
MOTE1P715;511,4;7,491409221;NA;NA;737,4554455;29,2855303;81,82928998;1,353053153;28,06786397;0,61814269
MOTE1P914;642,62;8,371162622;NA;NA;937,4087591;32,4816607;114,6794642;1,546909056;42,35787128;0,847976324
MOTE2P515;678,75;8,815018177;NA;NA;1090,929012;42,00550149;90,22916376;1,204137361;32,35216462;0,578573441
MOTE2P915;598,04;8,701468586;NA;NA;962,6213235;40,41261659;87,05610128;1,531873993;23,49379777;0,654421644
MOTH1P714;966,98;10,24840958;NA;NA;1284,582418;30,44563837;111,765214;1,192682598;32,83928439;0,440102846
MOTH1P715;637,06;7,588960616;NA;NA;841,6551724;24,5279782;171,2332419;2,467703133;64,53408703;1,426510647
MOTH1P914;774,13;9,321047108;NA;NA;1018,375;23,98526566;137,8511408;1,615692204;52,40910595;1,003299377
MOTH2P514;800,32;8,677010145;NA;NA;1076,271605;28,13246392;110,4343307;1,856712751;26,14265265;0,567189119
MOTH2P515;853,1;11,50186634;NA;NA;1432,210938;53,77111674;112,1251017;1,862466439;35,3288118;0,695435807
