Sample;D0;sd.D0;D0.bre;sd.D0.bre;D0.chao;sd.D0.chao;D1;sd.D1;D2;sd.D2
MDPH1F914;1549,58;13,06794984;NA;NA;2508,099751;62,23461642;170,0772382;1,79595684;51,19564969;0,660514504
MDPH2F514;624,28;9,514560877;NA;NA;968,3186813;33,29607518;77,8784808;0,906437349;35,06398058;0,515151579
MDPH2F515;763,54;9,853902473;NA;NA;1454,752381;61,31491939;66,91354443;0,81315781;27,91773709;0,349866011
MDPH2F915;1189,41;13,96684024;NA;NA;2042,253521;65,16442686;141,371824;2,040424538;46,02901072;0,706136072
MINE1F514;3157,13;26,73387553;NA;NA;5179,268873;84,71162851;162,4300264;1,824745232;40,29420741;0,385875965
MINE1F714;423,57;7,219858976;NA;NA;586,95;20,32640524;70,36603036;1,295411555;29,90822182;0,572428056
MINE1F715;1069,83;12,57225983;NA;NA;1851,258065;60,40186466;83,0279874;1,100545673;31,13132646;0,413498903
MINE1F914;1008,02;11,20694229;NA;NA;1571,719064;42,57577675;91,94772177;1,315554409;33,33309336;0,442456519
MINE2F515;710,08;11,81907378;NA;NA;1527,765957;75,75637877;89,75650074;1,54247408;34,79446957;0,713095266
MINE2F915;967,56;13,52462774;NA;NA;2243,432203;103,9020104;87,03195723;1,398729857;32,3703128;0,457958556
MINH1F514;2079,73;17,47139365;NA;NA;3600,669428;76,75483269;121,9823157;1,263914266;35,5103529;0,356835428
MINH1F714;971,97;13,90839802;NA;NA;1626,555769;52,72015215;76,78446383;0,859982776;25,23948022;0,303574179
MINH1F715;1175,66;13,24380549;NA;NA;2270,267751;76,48824569;84,41634994;1,065381023;30,08436919;0,419096999
MINH1F914;1009,19;12,15114826;NA;NA;1727,101695;54,36195768;86,0632362;1,123897929;32,92156477;0,407210598
MINH2F515;780,54;10,22911274;NA;NA;1700,152381;80,50971447;85,19328605;1,377420602;32,24165848;0,559242252
MINH2F915;1088,02;16,31135194;NA;NA;2418,225352;99,64143801;94,72258528;1,261140073;38,26115344;0,457979937
MLBD2F115;559,27;9,534472278;NA;NA;1105,340426;58,69437746;66,40883813;1,061322376;29,05080361;0,4353798
MLBD2F515;463,7;8,302975005;NA;NA;945,5471698;59,41736496;62,4424566;0,826911376;27,36776077;0,443522882
MLBD2F715;498,07;8,056937534;NA;NA;853,804878;49,50583151;74,92669942;0,946767689;27,03980429;0,408318903
MLBD2F915;761,9;9,814954576;NA;NA;1346,164384;61,41529704;117,0665601;1,265840803;47,06519557;0,663443448
MLBS2F115;495,75;8,01812971;NA;NA;1008,457627;60,25172509;63,69033013;1,133241792;28,55343286;0,4987796
MLBS2F815;465,87;8,29951319;NA;NA;731,6869159;33,4724098;68,64184604;1,289522543;26,13328557;0,492785038
MLBS2F915;669,31;7,728597034;NA;NA;1082,951613;47,65394592;102,1706901;1,110614103;42,94971075;0,55961456
MOTE1F514;1184,27;13,87232912;NA;NA;2042,396978;58,54324443;89,89188601;0,867787107;34,59609713;0,417830194
MOTE1F714;415,61;5,670934222;NA;NA;536,7266667;18,21225035;78,56457004;0,811498527;38,76838517;0,472503679
MOTE1F715;410,37;7,121818801;NA;NA;715,3442623;48,81612201;47,61032155;0,538793907;19,19200337;0,233549815
MOTE1F914;547,69;7,390541321;NA;NA;742,5185185;24,48971159;79,01341724;0,818555745;34,98940233;0,373292231
MOTE2F515;429,26;7,905528049;NA;NA;846,6888889;55,49204226;56,02272645;0,786700139;27,87686477;0,416846798
MOTE2F915;576,37;8,380659553;NA;NA;955,1607143;45,91956117;80,17730294;1,00622394;32,30668689;0,423663584
MOTH1F714;541,65;6,489112871;NA;NA;742,8300971;25,94074738;56,44693684;0,595918797;17,80167033;0,221454982
MOTH1F715;448,22;6,696267617;NA;NA;673,3457447;30,15887694;57,90795989;0,828608996;21,40538271;0,362762882
MOTH1F914;528,28;7,810999755;NA;NA;799,0053191;35,97405509;79,91216505;0,845397717;35,01306103;0,416978534
MOTH1F915;390,86;5,374876085;NA;NA;507,7264151;20,76182954;63,56956807;0,698923812;23,91588828;0,388908353
MOTH2F514;621,01;8,181643657;NA;NA;915,52;31,21013835;73,81196077;0,60370701;35,06948373;0,35826528
MOTH2F515;532,14;8,852346604;NA;NA;1034,808696;59,37542229;59,36681979;0,666695819;27,41557569;0,352892175
Sp13.BD.MLB.SN.1;1950,03;16,58979545;NA;NA;3318,611213;76,13637518;89,29735977;1,150646113;21,23601006;0,223296025
Sp13.BD.MM110.SD.1;413,61;8,429020337;NA;NA;1368,627273;150,6525993;31,07589605;0,248174894;14,4445034;0,128595145
Sp13.BD.MM110.SN.1;399,86;8,583540745;NA;NA;1223,035714;129,8606986;26,29745929;0,222389381;12,31374123;0,110789403
Sp13.BD.MM15.DD.1;1490,25;18,34372983;NA;NA;4677,140984;219,9109312;77,85822876;0,883447194;25,72476319;0,310075926
Sp13.BD.MM15.SD.1;940,04;17,21223431;NA;NA;5311,822727;467,3931049;51,33728988;0,527788954;20,97304495;0,197516818
Sp13.BD.MM15.SN.1;1256,53;15,3665352;NA;NA;2850,482315;113,5040287;70,04284016;0,680353036;25,14847323;0,228895428
Su13.BD.MLB.DD.1;756,41;11,52169232;NA;NA;2201,421875;173,4652565;54,27165066;0,641581916;18,16220249;0,2396621
Su13.BD.MLB.SD.1;684,46;11,22714963;NA;NA;2058,685567;165,1765199;65,43346279;0,628437225;29,83005996;0,300209565
Su13.BD.MM110.DCMD.1;373,09;7,048310923;NA;NA;727,6355932;57,33725789;47,02054212;0,394875723;24,19870334;0,230525294
Su13.BD.MM110.DN.1;460,95;6,65662122;NA;NA;827,4705882;55,53564089;48,31353772;0,47839569;18,74444342;0,20954726
Su13.BD.MM110.SD.1;307,54;6,626271557;NA;NA;679,1413043;67,09635285;19,26099116;0,192569885;8,611065327;0,074054553
Su13.BD.MM110.SN.1;305,18;6,688419058;NA;NA;750,5697674;81,8689691;19,31485869;0,19607059;8,947896294;0,076821172
Su13.BD.MM15.DN.1;439,08;7,615348669;NA;NA;1189,607692;111,3783588;37,16372651;0,368911625;18,52427232;0,161842264
Su13.BD.MM15.SD.1;430,83;8,622328308;NA;NA;1318,41;146,9146288;29,23771566;0,311729875;12,69654224;0,105574824
Su13.BD.MM15.SN.1;449,88;8,199876816;NA;NA;1176,79661;112,8770759;29,5254982;0,2628923;12,11394094;0,098368577
