"";"Sample_name";"D0";"D1";"sd.D1";"D2";"sd.D2";"counts";"volume";"dilution"
"40";"110S2-1015-2_rep1.fcs";16385;4110,44338879219;40,8451798179751;2588,07209559282;38,8512256879927;15171;50,08;2
"41";"110S2-1015-2_rep2.fcs";16113;4051,99197751809;41,0567112465374;2548,7871506007;37,3292148462707;15263;50,053;2
"42";"110S2-1015-2_rep3.fcs";15907;4012,39157239796;40,5101981362928;2552,99312911125;39,2831491451663;14970;50,216;2
"43";"110S2_115_2_rep1.fcs";13119;3028,86059784404;36,4765484260745;1923,40636200541;31,6443199800682;12358;50,123;10
"44";"110S2_115_2_rep2.fcs";12749;2990,08140930479;35,4831575290091;1895,92294504441;30,6943780172095;12481;50,182;10
"45";"110S2_115_2_rep3.fcs";13355;3076,8401969409;36,8761042449133;1948,01734122595;30,6778862195075;12668;50,209;10
"46";"110S2-415-2_rep1.fcs";14688;3297,76120027789;36,6863329007197;2068,00985043477;33,3699251606012;10420;50,123;2
"47";"110S2-415-2_rep2.fcs";14054;3278,93945587802;37,3413345418262;2080,42514776129;34,4505328425265;10121;50,136;2
"48";"110S2-415-2_rep3.fcs";13830;3280,91699105727;35,7112602163222;2079,03348384838;33,9470052801866;10218;50,145;2
"49";"110S2-515_rep1.fcs";15615;3866,36130398404;39,9585394172604;2444,60128154175;38,1767627760744;13810;50,147;2
"50";"110S2-515_rep2.fcs";16140;3998,82593659812;40,6025127549889;2535,75547331902;38,2938572308639;13346;50,225;2
"51";"110S2-515_rep3.fcs";15880;3995,13924730184;40,4409911395958;2531,8624868114;38,3771208242151;13646;50,013;2
"52";"110S2-715-2_rep1.fcs";13654;3061,73650865585;38,223482215517;1876,79798746836;29,1284597515832;14090;50,162;2
"53";"110S2-715-2_rep2.fcs";13543;3111,97938508286;36,9685573830169;1915,14276033871;31,1902332771701;14012;50,109;2
"54";"110S2-715-2_rep3.fcs";13864;3146,49201318418;38,9466627482582;1930,32145804547;31,9349737429766;13739;50,132;2
"55";"110S2-815_rep1.fcs";14466;3280,78956326607;36,9917196288558;2066,07274244335;33,094896834064;11264;50,123;2
"56";"110S2-815_rep2.fcs";14235;3329,10065185914;37,2396726769035;2069,5732308418;32,9554834700772;11633;50,144;2
"57";"110S2-815_rep3.fcs";14258;3256,47819785361;39,3317687703254;2031,04332858923;32,7427515968111;11385;50,155;2
"58";"110S2_915_2_rep1.fcs";16414;4236,35710549219;41,9457609317934;2639,76232404847;39,6833356117312;13972;50,211;10
"59";"110S2_915_2_rep2.fcs";15063;3729,32150608068;39,3710232078513;2341,59635514795;36,9156812635859;13700;50,092;10
"60";"110S2_915_2_rep3.fcs";16412;4195,06094745518;41,8692375634569;2622,82915495369;38,3490940908731;13771;50,008;10
"61";"M45D2-1015-1_rep1.fcs";13412;3054,68979039732;36,9188366466246;1880,4571796271;31,4217812296149;15064;50,121;2
