;Samples;counts;HNA;LNA;volume;dilution
97;M45S2-815_rep1.fcs;45112;12491;32621;50,17;2
98;M45S2-815_rep2.fcs;47633;13112;34521;50,121;2
99;M45S2-815_rep3.fcs;50653;14369;36284;50,143;2
100;M45S2-915-2_rep1.fcs;6465;1361;5104;50,116;10
101;M45S2-915-2_rep2.fcs;6243;1356;4887;50,169;10
102;M45S2-915-2_rep3.fcs;6157;1355;4802;50,137;10
103;MBRE1-714_rep1.fcs;50843;13482;37361;50,172;10
104;MBRE1-714_rep2.fcs;50847;13992;36855;50,155;10
105;MBRE1-714_rep3.fcs;50344;13515;36829;50,141;10
106;MBRE1-715_rep1.fcs;37360;6783;30577;50,05;10
107;MBRE1-715_rep2.fcs;37326;6909;30417;50,045;10
108;MBRE1-715_rep3.fcs;36738;6476;30262;50,054;10
109;MBRE1-914_rep1.fcs;36144;9486;26658;50,023;10
110;MBRE1-914_rep2.fcs;35681;9565;26116;50,016;10
111;MBRE1-914_rep3.fcs;36354;9897;26457;50,074;10
112;MBRE2-515_rep1.fcs;21193;8324;12869;50,052;10
113;MBRE2-515_rep2.fcs;21693;8797;12896;50,21;10
114;MBRE2-515_rep3.fcs;22151;9019;13132;50,045;10
115;MBRE2-915_rep1.fcs;24590;6358;18232;50,002;10
116;MBRE2-915_rep2.fcs;24457;6252;18205;50,198;10
117;MBRE2-915_rep3.fcs;24543;6401;18142;50,131;10
118;MBRH1-714_rep1.fcs;13367;3922;9445;50,179;10
119;MBRH1-714_rep2.fcs;13640;4055;9585;50,105;10
120;MBRH1-714_rep3.fcs;13371;3893;9478;50,119;10
121;MBRH1-914_rep1.fcs;17303;4892;12411;50,097;10
122;MBRH1-914_rep2.fcs;17443;4988;12455;50,014;10
123;MBRH1-914_rep3.fcs;17432;4961;12471;50,034;10
124;MBRH2-515_rep1.fcs;23903;6569;17334;50,078;10
125;MBRH2-515_rep2.fcs;24747;6583;18164;50,112;10
126;MBRH2-515_rep3.fcs;23967;6289;17678;50,049;10
127;MBRH2-915_rep1.fcs;14813;4513;10300;50,165;10
128;MBRH2-915_rep2.fcs;13944;4171;9773;50,131;10
129;MBRH2-915_rep3.fcs;13741;4054;9687;50,001;10
130;MDPE1-714_rep1.fcs;47454;15331;32123;50,17;10
131;MDPE1-714_rep2.fcs;47483;15191;32292;50,627;10
132;MDPE1-714_rep3.fcs;46401;14869;31532;50,113;10
