";""D0"";""sd.D0"";""D0.bre"";""sd.D0.bre"";""D0.chao"";""sd.D0.chao"";""D1"";""sd.D1"";""D2"";""sd.D2""",,,,,,,,
1;101,01;3,82045266766369;NA;NA;182,113636363636;22,1815985500914;6,90992269626618;0,101187585743988;4,86324234392351;0,4.19E+14
12;113,29;3,87244865503193;NA;NA;304,058823529412;55,5796463586696;5,07012107820639;0,0889318165092637;2,88202327451947;0,3.68E+14
14;88,28;3,72021504754765;NA;NA;146;16,7332005306815;4,65661331674894;0,0650964811265074;3,09449987434478;0,3.08E+13,
15;142,2;4,42673238359397;NA;NA;437,78125;85,9529023839373;5,43581188559374;0,0992619027029994;2,99156101517288;0,3.66E+14
16;98,55;3,81484341789153;NA;NA;151,266666666667;12,7129913139335;3,95112889672855;0,0709600596364272;2,44216548722885;0,2.67E+14
17;89,64;4,17186342590987;NA;NA;241,264705882353;44,5293220597616;3,61991861386031;0,0539393776280337;2,44075444206784;0,2.17E+14
18;61,7;3,13178556227607;NA;NA;119;22,7486263321547;3,53316804914048;0,0507991870909878;2,55226663934516;0,2.22E+14,
19;66,91;3,03546378730506;NA;NA;112,142857142857;15,6107442255956;3,48520975684955;0,0523389471009113;2,46893550112948;0,2.35E+14
20;88,1;3,97339637940626;NA;NA;136,083333333333;12,7693322028761;4,21916056347047;0,0761739890703479;2,69033002141389;0,2.93E+13
21;64,89;2,12201067219967;NA;NA;97;12,4096736459909;4,21466401946466;0,0603979748383663;2,96762667471737;0,2.55E+14,
23;111,16;4,04449994411915;NA;NA;316,409090909091;72,1510319570817;4,7140350217018;0,0864256886963107;2,42014403425775;0,3.19E+14
27;153,78;3,96851243025531;NA;NA;211,3;12,8044523506474;7,5351698791184;0,13120476050726;4,08839054275928;0,4.28E+14
31;73,92;3,62561036310447;NA;NA;123;15,4272486205415;2,18070391638848;0,0373235747450876;1,35543752614316;0,1.06E+14,
32;116,43;4,82471541004014;NA;NA;258,796296296296;34,3879588691404;2,37747002306239;0,0488107346896212;1,3917811645308;0,1.28E+14
34;99,06;3,77610777110372;NA;NA;267,029411764706;49,2966977671628;1,98529708422398;0,036994231249534;1,27409986128354;0,1.01E+14
35;57,4;2,34413086131075;NA;NA;70,7647058823529;4,14901546518545;1,84969598549052;0,0280587972006908;1,24946931485532;0,7.99E+14
36;114,85;4,54022426358394;NA;NA;241,942307692308;31,4300925822921;3,95678141895195;0,0662945597637555;2,12608887879038;0,2.47E+14
37;103,47;3,80444981355233;NA;NA;164,333333333333;16,0001446752718;3,81068377222495;0,0709268195913198;1,98027305341758;0,2.41E+14
38;106,8;4,07505344824588;NA;NA;224,53125;36,0963075730767;4,54015688431509;0,0844734874581784;2,26931229805483;0,2.85E+14
39;209,21;5,5692064610733;NA;NA;280,201612903226;11,6439607119627;18,6142645012889;0,328077229432401;9,70469749417477;0,1.14E+13
40;214,26;4,76650773203988;NA;NA;301,285714285714;14,312876671499;19,4471066891069;0,346137479579071;9,83732333852434;0,1.37E+14
41;200,68;5,42884179474068;NA;NA;302,990566037736;18,6611834222854;15,3258666850464;0,245090067524636;7,9976157570457;0,9.19E+14
42;271,92;6,17535015160675;NA;NA;571,755102040816;53,2230614352892;18,3198285187618;0,336977176017852;8,70435506439746;0,1.03E+14
43;203,99;4,79582099227014;NA;NA;291,047619047619;17,4770029530564;18,394414700125;0,31719715056785;9,2457401622037;0,1.21E+14
