";""D0"";""sd.D0"";""D0.bre"";""sd.D0.bre"";""D0.chao"";""sd.D0.chao"";""D1"";""sd.D1"";""D2"";""sd.D2""",,,,,,,,
67;89,21;3,73975367848707;NA;NA;134,5;9,91666666666667;1,65856030607173;0,0262857530671199;1,1656573474999;0,6.34E+14
68;73,95;3,48554011581991;NA;NA;145,333333333333;22,9653523249134;1,7983006476889;0,0319213269267791;1,21067217624524;0,8.23E+14
69;102,61;4,53024627510815;NA;NA;360,166666666667;85,9101732646976;1,98487440515891;0,0376814756527554;1,25273075921153;0,9.00E+14
71;89,97;3,91437392597121;NA;NA;181,5;32,2209171191634;2,09810957075033;0,0429638987509813;1,28099025041504;0,1.05E+14
72;112,18;4,21728046796209;NA;NA;364,45;90,9387719842312;2,56807997120895;0,052031946430312;1,42751882509813;0,1.29E+14
73;107,82;3,58836503666553;NA;NA;192,533333333333;26,8470786051226;2,4836084431573;0,0474384456632023;1,43748383061127;0,1.26E+14
74;154,68;4,27319576197979;NA;NA;360,347826086957;51,85355966126;3,97316438934628;0,0860694849376376;1,82734409434622;0,2.19E+13
75;162,02;4,96651413229265;NA;NA;372,666666666667;49,629408512498;4,40123436657007;0,0889167254149636;1,97981875656057;0,2.40E+14
77;137,28;4,16595145376798;NA;NA;218,157142857143;17,8656520134556;4,13244295145979;0,084273019901178;1,89569151653243;0,2.35E+14
78;150,08;4,45103551678901;NA;NA;259,727272727273;21,3869224244369;4,13518296051918;0,0822881795427897;1,86670909892638;0,2.03E+14
87;119,62;3,44591692214764;NA;NA;193,195652173913;19,8253899779656;3,77427403651566;0,0758027700641984;1,79173278577354;0,1.93E+14
91;128,31;5,03261082512563;NA;NA;283,5;37,3798073831313;4,1908927085724;0,089820256818775;2,09195929128823;0,2.74E+14
