;Sample_names;D0;D1;D2;sd.D0;sd.D1;sd.D2;counts;volume;dilution;HNA_counts
49;110S2-515_rep1.fcs;15068,17;3860,766486;2389,682965;163,9645228;22,50722197;15,30616282;24567;50,013;2;6361
50;110S2-515_rep2.fcs;15060,78;3912,925064;2442,099618;193,0822602;35,50304734;23,7051256;24419;50,006;2;6575
51;110S2-515_rep3.fcs;14598,7;3845,535317;2394,462668;194,0007029;40,46963612;26,0063803;24284;50,022;2;6444
52;110S2-715-2_rep1.fcs;14351,5;3422,989283;2135,57374;180,0114755;22,98941109;13,39787471;28769;50,057;2;7813
53;110S2-715-2_rep2.fcs;14063,46;3312,316934;2067,41043;242,166168;45,43546248;28,88418954;28055;50,209;2;7440
54;110S2-715-2_rep3.fcs;14226,04;3342,753778;2074,212447;159,3394141;28,94849028;17,05114126;28565;50,086;2;7774
55;110S2-815_rep1.fcs;13627,37;3343,224935;2119,057332;275,1204568;51,8399509;32,0250423;36420;50,192;2;9654
56;110S2-815_rep2.fcs;14090,47;3440,442293;2172,357512;283,1175811;53,88120411;33,60820441;37023;50,067;2;10172
57;110S2-815_rep3.fcs;13333,13;3274,855221;2066,081084;464,6974612;102,2539136;61,56642076;37347;50,021;2;10166
58;110S2_915_2_rep1.fcs;12844,33;3227,223906;2001,710096;268,8406856;59,58785189;36,96087424;6390;50,146;10;1380
59;110S2_915_2_rep2.fcs;13367,25;3355,752117;2066,483871;243,7414334;41,36161364;26,74452146;6529;50,115;10;1393
60;110S2_915_2_rep3.fcs;11701,13;3183,768359;2101,51373;224,2975862;43,64628026;29,78840065;16400;50,115;10;10664
61;M45D2-1015-1_rep1.fcs;14585,01;3094,838863;1894,596351;206,9948272;26,00406938;15,11110236;22763;50,054;2;3908
62;M45D2-1015-1_rep2.fcs;14759,06;3148,245405;1924,897954;155,3870254;20,96045531;13,07221378;22907;50,055;2;3977
63;M45D2-1015-1_rep3.fcs;15073,15;3168,724138;1942,447217;204,0756631;24,08052284;13,51598266;23574;50,044;2;4100
64;M45D2-115-2_rep1.fcs;13863,74;3240,241833;1996,873487;259,6961169;50,15199918;32,1721806;8322;50,139;10;1876
65;M45D2-115-2_rep2.fcs;13865,65;3320,060562;2033,682709;215,3999979;34,3943105;22,08477251;8354;50,139;10;1862
66;M45D2-115-2_rep3.fcs;13386,14;3253,964115;2022,290384;256,0715265;47,19407583;29,43952158;8111;50,139;10;1870
67;M45D2-415-2_rep1.fcs;13784,98;3312,260701;2104,509413;197,08261;18,01361291;11,12460174;27949;50,023;2;7456
68;M45D2-415-2_rep2.fcs;13579,65;3309,564609;2108,858908;162,6665037;17,37903714;11,85299634;28492;50,033;2;7696
69;M45D2-415-2_rep3.fcs;13520,95;3252,341856;2067,96875;190,0621044;26,58870548;17,51601147;28118;50,041;2;7431
70;M45D2-515_rep1.fcs;14973,19;3320,653976;2020,452583;218,9179863;43,51726714;25,81562598;43087;50,021;2;15493
71;M45D2-515_rep2.fcs;15526,4;3421,500635;2065,931569;147,33587;21,89185861;12,96392658;41835;50,019;2;14968
72;M45D2-515_rep3.fcs;15413,96;3360,192799;2042,023162;153,6326407;23,834772;14,54486892;42335;50,182;2;15393
73;M45D2-715-2_rep1.fcs;13537,03;3259,181681;2022,862722;174,6749625;23,85526581;13,71272886;16669;50,035;2;2787
74;M45D2-715-2_rep2.fcs;13857;3255,627265;2018,711147;181,08132;20,83896739;12,25269916;16798;50,015;2;2765
75;M45D2-715-2_rep3.fcs;13446,03;3264,138417;2022,945787;220,5005534;27,45399945;16,68243623;15849;50,038;2;2611
76;M45D2-815_rep1.fcs;13782,12;3335,466201;2127,290031;175,3985522;32,23115446;20,10687588;19467;50,215;2;5132
77;M45D2-815_rep2.fcs;13934,07;3346,958659;2130,379543;183,6311771;26,31599752;18,54044301;19122;50,022;2;5062
78;M45D2-815_rep3.fcs;13573,17;3353,745074;2144,610362;186,6982687;21,99962422;13,48969197;19570;50,027;2;5261
79;M45D2-915-2_rep1.fcs;12224,2;3178,871906;2018,816102;301,7184452;55,59586253;33,88206801;5662;50,148;10;1273
80;M45D2-915-2_rep2.fcs;13049,08;3289,031173;2089,201715;258,5694788;37,89608484;21,67094796;5742;50,13;10;1321
81;M45D2-915-2_rep3.fcs;12583,26;3281,577718;2093,843544;243,5327792;41,39853416;25,99627704;5760;50,112;10;1357
82;M45S1-115-1_rep1.fcs;14432,66;3416,189709;2147,929274;277,3616033;37,03019416;21,91188402;11700;50,134;10;3200
83;M45S1-115-1_rep2.fcs;14311,57;3397,747362;2128,708013;213,7257875;32,66193786;21,12738213;11497;50,15;10;3119
84;M45S1-115-1_rep3.fcs;13299,93;3228,289227;2034,148843;583,202743;136,213193;83,14159168;11520;50,14;10;3239
85;M45S2-1015-2_rep1.fcs;13188,92;3197,314554;2012,000951;378,1851313;86,06544777;52,41516232;56076;50,17;2;16493
86;M45S2-1015-2_rep2.fcs;13684,53;3272,669617;2053,739735;251,0771725;46,26506127;28,16689377;57137;50,148;2;16687
87;M45S2-1015-2_rep3.fcs;13985,01;3320,663388;2082,768882;176,1237223;20,05879088;12,27227661;57373;50,153;2;16757
88;M45S2-415-2_rep1.fcs;13238,09;3234,503833;2082,629305;165,7567949;15,58516416;11,06743931;30708;50,026;2;7584
89;M45S2-415-2_rep2.fcs;13934,69;3282,901591;2104,015535;179,1411438;17,97620203;10,98018564;31045;50,116;2;7614
90;M45S2-415-2_rep3.fcs;13354,96;3218,510918;2066,107098;169,6499021;29,62815035;20,38378119;30860;50,139;2;7548
91;M45S2-515-DMSO_rep1.fcs;16111,61;3762,992903;2194,707866;166,6309595;34,71277744;19,59034358;54339;50,18;2;23375
92;M45S2-515-DMSO_rep2.fcs;16412,32;3878,45601;2249,860305;159,7643391;23,54915598;12,8834111;54621;50,17;2;23695
93;M45S2-515-DMSO_rep3.fcs;16236,94;3844,62175;2233,836928;160,3537012;27,64425565;14,89005151;54253;50,117;2;23639
94;M45S2-715-2_rep1.fcs;13617,24;3320,444261;2080,897166;193,2014242;28,44359602;18,72756627;27118;50,012;2;6650
95;M45S2-715-2_rep2.fcs;13634,62;3355,032;2104,536539;181,6152432;19,62725724;12,34849567;26001;50,034;2;6426
96;M45S2-715-2_rep3.fcs;13409,01;3315,49488;2069,455156;251,3018023;51,75701681;31,4857823;27964;50,123;2;6922
97;M45S2-815_rep1.fcs;13511,15;3293,324561;2079,987496;184,3611067;28,33300151;17,68177687;45112;50,17;2;12491
98;M45S2-815_rep2.fcs;13817,14;3375,401788;2132,906525;155,7662079;17,94870015;11,69567512;47633;50,121;2;13112
99;M45S2-815_rep3.fcs;14015,36;3365,587691;2120,089184;163,8091104;31,26897906;18,75573818;50653;50,143;2;14369
100;M45S2-915-2_rep1.fcs;13434,31;3380,413617;2061,904438;261,4617686;54,85154523;34,992559;6465;50,116;10;1361
101;M45S2-915-2_rep2.fcs;13240,74;3336,552839;2042,871622;220,865269;43,14566149;25,84287467;6243;50,169;10;1356
102;M45S2-915-2_rep3.fcs;13226,47;3230,16933;1993,048268;263,4854357;41,64702086;26,19781503;6157;50,137;10;1355
103;MBRE1-714_rep1.fcs;15191,46;3379,274279;2073,825605;156,1069576;18,16132983;11,13168622;50843;50,172;10;13482
104;MBRE1-714_rep2.fcs;14823,91;3344,887695;2066,879559;237,671537;46,16439518;28,73808895;50847;50,155;10;13992
105;MBRE1-714_rep3.fcs;15026,31;3385,321465;2082,132146;200,3860766;35,12600642;22,12281329;50344;50,141;10;13515
106;MBRE1-715_rep1.fcs;14167,18;3108,947887;1911,618061;197,7402326;43,07787566;27,56043448;37360;50,05;10;6783
107;MBRE1-715_rep2.fcs;14182,8;3121,387172;1926,414073;338,3955906;67,95108914;40,6337468;37326;50,045;10;6909
108;MBRE1-715_rep3.fcs;14337,96;3153,650637;1942,646188;204,5322291;25,72525659;15,3369689;36738;50,054;10;6476
109;MBRE1-914_rep1.fcs;15141,15;3307,056761;2061,565926;232,0277489;28,29709566;17,29374743;36144;50,023;10;9486
110;MBRE1-914_rep2.fcs;14928,61;3239,177385;2021,812742;280,5643625;45,22801287;27,61111374;35681;50,016;10;9565
111;MBRE1-914_rep3.fcs;14453,08;3274,480443;2044,903341;300,9326808;52,23340642;30,39345897;36354;50,074;10;9897
112;MBRE2-515_rep1.fcs;14599,32;3261,336256;2054,234878;397,1817354;77,99592003;49,55238403;21193;50,052;10;8324
113;MBRE2-515_rep2.fcs;15373,49;3303,587959;2062,33992;265,9727143;42,5245284;25,46404386;21693;50,21;10;8797
114;MBRE2-515_rep3.fcs;15450,99;3306,836568;2066,39842;222,2462687;31,32682228;19,85851665;22151;50,045;10;9019
115;MBRE2-915_rep1.fcs;15252,47;3271,435101;2006,753137;239,2533611;37,32495209;22,69568293;24590;50,002;10;6358
116;MBRE2-915_rep2.fcs;15224,69;3245,055332;1979,373741;290,3025484;49,38813248;27,56413289;24457;50,198;10;6252
117;MBRE2-915_rep3.fcs;15045,62;3268,247126;1997,108907;323,6108706;54,31766052;31,36842286;24543;50,131;10;6401
118;MBRH1-714_rep1.fcs;17296,11;3868,769641;2277,665388;332,7117506;69,16973357;37,77183417;13367;50,179;10;3922
119;MBRH1-714_rep2.fcs;17680,81;3871,788722;2276,350168;289,2789956;58,50516773;31,67663867;13640;50,105;10;4055
120;MBRH1-714_rep3.fcs;16600,97;3693,562369;2151,609711;615,6150321;123,4949998;68,49511819;13371;50,119;10;3893
121;MBRH1-914_rep1.fcs;18177,14;3965,765443;2288,516017;214,8314359;42,33173413;25,49023312;17303;50,097;10;4892
122;MBRH1-914_rep2.fcs;17929,86;3931,718921;2241,199273;271,9283558;56,86496091;30,85528935;17443;50,014;10;4988
