"";"Sample_fcm";"Sample_seq";"D0.fcm";"D1.fcm";"D2.fcm";"sd.D0.fcm";"sd.D1.fcm";"sd.D2.fcm";"D0";"sd.D0";"D0.bre";"sd.D0.bre";"D0.chao";"sd.D0.chao";"D1";"sd.D1";"D2";"sd.D2"
"23";"CYCLUS2_BEKKEN_0_0h_SYBR_START";43;10963,9;2489,25826024071;1437,58043914024;199,994133303405;39,691757145268;23,6317957771101;542;8,544003745;NA;NA;2507,882353;272,2568377;28,18525456;0,389268537;10,67375155;0,079236704
"24";"CYCLUS2_BEKKEN_0_10h_SYBR_START";48;9911,04333333333;2170,29130822119;1243,99726905857;101,813580388449;13,9394879765194;8,22338792206876;729,6666667;15,17673658;NA;NA;2660;206,8831666;15,81957889;0,238527216;6,347106556;0,092889571
"25";"CYCLUS2_BEKKEN_0_12h_SYBR_START";49;9106,26333333333;2017,90280836081;1132,84855950369;90,8803415876785;12,8894226722435;7,01544774762192;321;10,53565375;NA;NA;1541;197,9449924;5,541516365;0,188411024;2,390123737;0,03659708
"26";"CYCLUS2_BEKKEN_0_2h_SYBR_START";44;12045,0566666667;2723,19308423194;1627,30493636315;148,754577252761;25,0756260539523;14,813905629232;566,3333333;6,506407099;NA;NA;1814,6875;150,0983869;35,04102941;0,610582372;12,43600181;0,16513441
"27";"CYCLUS2_BEKKEN_0_4h_SYBR_START";45;12035,0033333333;2886,55084917652;1795,50633276742;217,370515890383;43,3326705086901;26,4077648652995;500,6666667;8,96288644;NA;NA;1678,16092;149,1423636;23,38006936;0,498741639;6,968194123;0,101104476
"28";"CYCLUS2_BEKKEN_0_6h_SYBR_START";46;11644,6733333333;2659,26643230492;1586,01235424308;116,400494636042;11,9181880585354;7,41422449557666;520;4,582575695;NA;NA;1895,798851;172,934469;18,20806617;0,668985669;4,960409492;0,135290748
"29";"CYCLUS2_BEKKEN_0_8h_SYBR_START";47;10816,9033333333;2332,53143955176;1364,13052909583;150,24918512882;24,9754884914198;14,5033649235947;925,3333333;22,27853975;NA;NA;3127,906475;220,1971629;23,03296119;0,302752437;5,835199697;0,050939666
"30";"CYCLUS2_BEKKEN_1_A_SYBR_OPERATION";51;8330,4;1742,56333847514;979,259665362943;95,1580753491403;17,3222875874811;9,81691680809337;290,3333333;6,110100927;NA;NA;995,1272727;113,7546554;5,938261431;0,006892756;2,831987817;0,013716895
"31";"CYCLUS2_BEKKEN_11_A_SYBR_OPERATION";61;6957,81666666667;1550,15343775224;846,723062044529;93,0413716915233;17,3954828327448;9,65701203852558;308,3333333;9,865765725;NA;NA;1480,211111;199,2632671;2,839715103;0,008849674;1,497167859;0,003782761
"32";"CYCLUS2_BEKKEN_12_A_SYBR_OPERATION";62;7098,98;1581,66834004318;864,198775643117;119,739737498674;23,918565499131;13,4204884914714;282,3333333;12,50333289;NA;NA;1346,440476;188,2716219;3,249036158;0,027006362;1,597855223;0,008261315
"33";"CYCLUS2_BEKKEN_14_A_SYBR_OPERATION";63;7279,38333333333;1634,42221892071;886,881547995822;97,3749151873526;14,6487933040191;7,83359981300836;204,6666667;3,785938897;NA;NA;1084,307692;194,9187149;2,357748255;0,034812575;1,333140146;0,005571045
"34";"CYCLUS2_BEKKEN_16_A_SYBR_OPERATION";64;8002,73333333333;1729,30679281597;973,393176108046;205,719466343786;40,3990720706873;23,2300959627211;257;14,10673598;NA;NA;1299,716216;194,5153113;1,917089981;0,044645337;1,205453154;0,007701798
"35";"CYCLUS2_BEKKEN_17_B_SYBR_OPERATION";66;6605,03666666667;1465,52033549511;833,323211616325;105,990865233316;19,6474014084049;11,1619677675636;302,3333333;10,69267662;NA;NA;1366,190476;189,4655353;2,02984707;0,024132636;1,229616033;0,003837099
"36";"CYCLUS2_BEKKEN_19_A_SYBR_OPERATION";67;7038,63666666667;1561,2507142844;881,825351389303;68,4637804741497;6,3357598688454;3,21600648793623;237;4,582575695;NA;NA;881,4285714;116,6776227;1,951575948;0,040383228;1,207280918;0,007103963
"37";"CYCLUS2_BEKKEN_20_B_SYBR_OPERATION";68;6592,63;1504,74272975843;852,73655098705;83,1225030679049;13,8195224639444;7,85892604730249;201;7,549834435;NA;NA;704,8125;94,66079708;2,238487776;0,070378468;1,276579126;0,014270971
"38";"CYCLUS2_BEKKEN_22_A_SYBR_OPERATION";69;7320,5;1649,44345141292;907,510191201546;125,678765236715;23,2987335887215;13,0445456529334;285,6666667;9,073771726;NA;NA;1006,264151;117,4870371;2,416146007;0,050251729;1,308780738;0,009334614
"39";"CYCLUS2_BEKKEN_24_B_SYBR_OPERATION";71;7082,61333333333;1597,53784577381;866,867307098157;164,413635866404;36,4521445494302;20,3598264537566;490,6666667;10,59874206;NA;NA;1915,450617;184,8247249;2,726955123;0,022767988;1,357073488;0,004284732
"40";"CYCLUS2_BEKKEN_26_A_SYBR_OPERATION";72;8626,06;1984,27284676339;1095,96317339237;111,690618969907;17,2896295623794;9,88150140527235;461;8,544003745;NA;NA;1547,720238;141,177985;3,299404843;0,019826479;1,505983691;0,003314383
"41";"CYCLUS2_BEKKEN_27_B_SYBR_OPERATION";73;8727,66;1991,56106299919;1082,04730672801;99,529857230678;14,6800367571407;8,40054283637946;313;13,11487705;NA;NA;1336,011364;179,5625337;3,216770159;0,066780071;1,530281417;0,007631088
"42";"CYCLUS2_BEKKEN_28_10h_SYBR_SHUTDOWN";74;7978,49;1850,29050692881;1022,13822076408;157,486793239603;32,1214148395664;18,4031578683401;439,3333333;11,2398102;NA;NA;2161,580357;260,230059;5,237078113;0,186537077;1,952817551;0,037432682
"43";"CYCLUS2_BEKKEN_29_B_SYBR_POSTCYCLE";75;8125,62666666667;1862,14076268465;1035,57627001759;74,9947971259313;9,63770343602082;5,40549884318734;461,3333333;8,504900548;NA;NA;1931,35;203,5220916;6,00754232;0,104175346;2,150455002;0,019157551
"44";"CYCLUS2_BEKKEN_3_B_SYBR_OPERATION";54;8184,62666666667;1764,00472774971;990,550762922112;125,428425223697;24,9070493168017;14,0289016050547;349;5,291502622;NA;NA;1494,035088;176,4966586;7,716114421;0,157337135;4,186213319;0,056130082
"45";"CYCLUS2_BEKKEN_31_A_SYBR_POSTCYCLE";77;8101,25333333333;1829,00416406943;992,780497216942;83,422316532346;13,7446788429777;7,49027634409792;327;1;NA;NA;1016,336066;106,2882407;5,696510639;0,063382434;2,080736419;0,02375309
"46";"CYCLUS2_BEKKEN_34_B_SYBR_POSTCYCLE";87;7668,83333333333;1751,09334820141;947,06813864089;106,325445281239;19,7011609510335;11,1775953233691;300,6666667;5,686240703;NA;NA;1221;151,670965;4,976611083;0,040219411;1,923354253;0,011827585
"47";"CYCLUS2_BEKKEN_35_A_SYBR_POSTCYCLE";78;7718,58;1753,50268937858;959,632446227927;200,118065207633;42,0310727092873;24,154031223011;428;5,196152423;NA;NA;1587;153,2970972;5,529831822;0,071111031;1,99650654;0,022162763
"48";"CYCLUS2_BEKKEN_4_A_SYBR_OPERATION";55;8331,58666666667;1782,58878002502;995,988941300147;79,8617474019446;10,6414756021981;5,76184230536133;253,3333333;9,073771726;NA;NA;1199,132353;185,5258322;6,461180276;0,108439624;3,507557036;0,042019547
"49";"CYCLUS2_BEKKEN_4_B_SYBR_OPERATION";56;7985,97333333333;1727,73940740246;952,362701832782;135,12580454062;25,682874123799;14,5806107125751;320,3333333;1,527525232;NA;NA;1527,806122;197,6934608;7,499785061;0,173072189;3,997232609;0,031328942
"50";"CYCLUS2_BEKKEN_7_A_SYBR_OPERATION";59;9842,95333333333;2347,04633826037;1309,05583782888;91,9026585752483;10,674623179276;6,24276215962867;469,3333333;5,507570547;NA;NA;2278,623077;254,7847249;8,626933883;0,100526874;3,981320504;0,013577091
"51";"CYCLUS2_BEKKEN_9_A_SYBR_OPERATION";60;9119,94;2121,63119242722;1178,58217135304;122,192598338297;21,3231177944796;11,9489953373502;293,3333333;6,658328118;NA;NA;969,5089286;107,5548426;4,126144116;0,033313775;1,841961984;0,01503374
